inchikey,smi_pre,smi_post,lambda_sTDA (nm),f1_sTDA,lumo_dft,homo_dft,dmom_dft (D),lambda_z (nm),f1_z,lumo_z,homo_z,dmom_z (D),lumo_mopac,homo_mopac,dmom_mopac (D),lambda_tddft (nm),f1_tddft,lambda_exp_max (nm),epsilon_exp_max ,lambda_exp_min (nm),epsilon_exp_min ,solvent
YDDUFDGRGCRQQB-UHFFFAOYSA-N,N#CCc1cccc(c1)C12OOC2(C(C)(C)C)C(CO1)(C)C,N#CCc1cccc(c1)C12OOC2(C(C)(C)C)C(CO1)(C)C,260.8,0.000120967,0.9442,-9.2193,1.65488,278.6788006417255,0.000993796,0.2478,-8.9974,69.12391,-0.377,-9.666,0.85642,NaN,NaN,702,NaN,702,NaN,NaN
TXPMKPGLGMOQQO-UHFFFAOYSA-N,Nc1ccc(cc1)Nc1nc(nc(n1)Nc1cccc2c1cccc2)Nc1cccc2c1cccc2,Nc1ccc(cc1)Nc1nc(nc(n1)Nc1cccc2c1cccc2)Nc1cccc2c1cccc2,306.5,0.177193074,0.4745,-7.2871,1.79728,319.62928178784136,0.049918736,-0.1717,-7.6843,85.43852,-0.689,-8.22,2.60952,NaN,NaN,295,46773.51412871981,295,46773.51412871981,CH 2 Cl 2
BUZJCKHSOGRPLT-UHFFFAOYSA-N,COc1ccc2c(c1)C(C)(C)C1(N2C)C=Cc2c(O1)c(cc1c2cccc1)c1nc(c(o1)c1ccccc1)c1ccccc1,COc1ccc2c(c1)C(C)(C)C1(N2C)C=Cc2c(O1)c(cc1c2cccc1)c1nc(c(o1)c1ccccc1)c1ccccc1,329.5,0.195979582,0.0139,-7.3007,2.01450,384.5663722255076,0.361359219,-0.7079,-7.1842,23.16757,-1.128,-8.011,2.7959,NaN,NaN,309,NaN,309,NaN,Toluene
IIBBFGMVMNZMGA-UHFFFAOYSA-N,COc1ccc(cc1)c1oc2ccccc2c(=O)c1O,COc1ccc(cc1)c1oc2ccccc2c(=O)c1O,304.2,0.636192507,-0.094,-7.8637,2.90939,359.89607664877695,0.012932857,-1.0991,-8.2275,51.30977,-0.967,-8.644,2.44573,NaN,NaN,203,16400,203,16400,NaN
QWNRHWNQHLYNSX-UHFFFAOYSA-N,O=NN1C(c2ccc(cc2)OC)C2CCCC(C1c1ccc(cc1)OC)C2=O,O=NN1C(c2ccc(cc2)OC)C2C(C1c1ccc(cc1)OC)C2=O,422.3,0.004423863,0.515,-8.1457,2.09749,528.9428259620464,0.001223621,-1.1476,-8.4281,34.54691,-0.071,-8.894,2.77212,NaN,NaN,440,NaN,440,NaN,KBr
FTBVVLLQTUFMFZ-UHFFFAOYSA-N,N#CC(=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)c1cc(C)cc(c1)C,N#CC(=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)c1cc(C)cc(c1)C,339.0,0.91158682,-0.1916,-7.3695,6.64098,341.7425534881578,0.304395046,-0.3445,-7.3989,122.19965,-0.85,-8.131,5.43455,NaN,NaN,413.0,NaN,307.0,NaN,Cyclohexane
JPDUPGAVXNALOL-UHFFFAOYSA-N,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1,306.2,0.508100554,1.0717,-6.855,0.00098,339.03253597348555,0.384859111,0.3896,-6.9718,0.02992,-0.238,-7.622,0.00556,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UIMOXRDVWDLOHW-UHFFFAOYSA-N,CCN(c1ccc2c(c1)oc(=O)cc2C(F)(F)F)CC,CCN(c1ccc2c(c1)oc(=O)cc2C(F)(F)F)CC,303.0,0.565551962,-0.1079,-7.8353,7.09870,374.91441912761917,0.474197511,-1.4099,-8.1827,296.09128,-1.249,-8.588,7.90946,NaN,NaN,401,NaN,401,NaN,dichloromethane
XDLNYSMGOACQAQ-UHFFFAOYSA-N,Clc1ccc2c(c1)sc(n2)N=Nc1ccc2c1ccccc2,Clc1ccc2c(c1)sc(n2)N=Nc1ccc2c1ccccc2,489.2,0.022275007,-1.1147,-7.5444,6.37138,579.6362711804753,0.077954373,-1.761,-7.4576,334.31584,-1.959,-8.555,6.54508,NaN,NaN,494.0,NaN,226.0,NaN,NaN
VGAWTDJZPLKGHK-UHFFFAOYSA-N,CCOC(=O)c1c(N)sc(c1c1ccccc1)N=Nc1ccc(cc1)C,CCOC(=O)c1c(N)sc(c1c1ccccc1)N=Nc1ccc(cc1)C,443.1,0.001335037,-0.2705,-7.3979,0.30343,543.5519439083895,0.000161299,-1.2552,-7.5266,217.95122,-1.056,-8.338,0.73444,NaN,NaN,469.0,NaN,451.0,NaN,DMSO
IFLREYGFSNHWGE-UHFFFAOYSA-N,c1ccc2c(c1)cc1c(c2)cc2c(c1)cccc2,c1ccc2c(c1)cc1c(c2)cc2c(c1)cccc2,432.6,0.136987889,-0.6174,-6.9935,0.00019,433.2082404105648,0.203699644,-1.0502,-6.9257,0.00389,-1.465,-8.028,0.00089,NaN,NaN,1273.0,8000,765.0,8000,NaN
BPPCOPNHPZEMMR-UHFFFAOYSA-N,CCCCCCCc1ccccc1C#Cc1c(C#Cc2ccccc2CCCCCCC)c(C#Cc2ccccc2CCCCCCC)c(c(c1C#Cc1ccccc1CCCCCCC)F)F,Cc1ccccc1C#Cc1c(C#Cc2ccccc2C)c(C#Cc2ccccc2C)c(c(c1C#Cc1ccccc1C)F)F,322.2,0.616468325,-0.4513,-7.8417,3.96089,400.07808456116055,0.003084378,-0.9236,-7.5263,252.25737,-1.372,-8.703,4.68379,NaN,NaN,420.0,NaN,325.0,NaN,NaN
SZJLYIAMKGQRKL-UHFFFAOYSA-N,N#CC(=Cc1ccc(cc1)N(c1ccc(cc1)C#C)c1ccc(cc1)C#C)C#N,N#CC(=Cc1ccc(cc1)N(c1ccc(cc1)C#C)c1ccc(cc1)C#C)C#N,352.2,1.330283141,-1.1233,-7.8533,8.28448,379.8535490364696,0.587922097,-1.2615,-7.5322,133.05562,-1.63,-8.438,6.40178,NaN,NaN,459.0,NaN,349.0,NaN,NaN
OCUMTSFZHXDWIA-UHFFFAOYSA-N,COCCNc1ncnc2c1nc(n2Cc1ccccc1)C=Cc1ccc(cc1)C(F)(F)F,COCCNc1ncnc2c1nc(n2Cc1ccccc1)C=Cc1ccc(cc1)C(F)(F)F,322.0,1.142351791,-0.4511,-7.8032,1.38165,355.6632197518751,0.580435822,-0.8357,-7.7754,256.02352,-1.165,-8.677,1.25626,340.2420225280995,0.8916577244,354,NaN,354,NaN,NaN
URTWSUNIBSWELO-UHFFFAOYSA-N,COC(=O)c1cc(c2n1nc(cc2)c1ccc(cc1)Br)C(=O)OC,COC(=O)c1cc(c2n1nc(cc2)c1ccc(cc1)Br)C(=O)OC,320.1,0.053650299,-0.2705,-8.4415,4.99911,378.34665366342284,0.261153907,-1.5365,-8.5021,317.96885,-1.45,-9.474,2.46005,NaN,NaN,355.0,NaN,228.0,NaN,acetonitrile
DWEPBIMZTHYTRL-UHFFFAOYSA-N,COc1ccc2c(c1)CCc1c2[nH]cc1C(=O)O,COc1ccc2c(c1)CCc1c2[nH]cc1C(=O)O,273.5,0.359017718,1.3766,-7.3388,3.28982,351.92789782998483,0.296725564,-0.4039,-7.4707,95.03555,-0.224,-8.309,5.24955,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JKCRTTSMRYSWOM-UHFFFAOYSA-N,COC(=O)C(Cc1ccccc1)CNC(=O)OC(C)(C)C,COC(=O)C(Cc1ccccc1)CNC(=O)OC(C)(C)C,235.2,0.002680293,1.3463,-8.9507,2.93629,275.8269152513986,0.00252652,0.2662,-8.8823,107.75819,0.017,-9.589,3.39828,NaN,NaN,NaN,NaN,NaN,NaN,NaN
